StartX;StartY;MaxTripDistance;AgentExploreRadius
32;31;5.0;1.0
22;2;5.0;1.0
18;17;5.0;1.0
21;16;5.0;1.0
40;26;5.0;1.0
31;29;5.0;1.0
41;9;5.0;1.0
42;8;5.0;1.0
12;31;5.0;1.0
14;28;5.0;1.0
37;27;5.0;1.0
28;33;5.0;1.0
37;39;5.0;1.0
44;38;5.0;1.0
38;25;5.0;1.0
3;3;5.0;1.0
9;4;5.0;1.0
43;2;5.0;1.0
5;15;5.0;1.0
2;4;5.0;1.0
30;17;5.0;1.0
8;20;5.0;1.0
42;22;5.0;1.0
16;3;5.0;1.0
14;39;5.0;1.0
26;16;5.0;1.0
25;18;5.0;1.0
25;24;5.0;1.0
31;3;5.0;1.0
29;18;5.0;1.0
31;18;5.0;1.0
4;1;5.0;1.0
2;40;5.0;1.0
33;43;5.0;1.0
44;43;5.0;1.0
20;18;5.0;1.0
39;34;5.0;1.0
36;8;5.0;1.0
22;27;5.0;1.0
4;13;5.0;1.0
20;27;5.0;1.0
4;19;5.0;1.0
38;48;5.0;1.0
10;1;5.0;1.0
28;19;5.0;1.0
8;10;5.0;1.0
31;36;5.0;1.0
11;15;5.0;1.0
28;37;5.0;1.0
30;37;5.0;1.0
